2023-03-14 11:07:01 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-14 11:07:01 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.008s)
2023-03-14 11:07:01 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-14 11:07:01 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-0.578s) * 
2023-03-14 11:12:38 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-14 11:14:01 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (376.883s)
2023-03-14 11:14:01 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-14 11:14:11 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-14 11:14:11 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-14 11:14:11 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-14 11:14:11 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-14 11:14:11 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.002s)
2023-03-14 11:14:11 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-14 11:14:11 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-14 11:14:11 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-14 11:14:11 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.124s)
2023-03-14 11:14:11 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-14 11:14:11 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.012s)
2023-03-14 11:14:11 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-14 11:14:11 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-9.381s) * 
2023-03-14 11:14:41 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-14 11:23:32 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (531.213s)
2023-03-14 11:36:17 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-14 11:54:56 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-14 11:54:56 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-14 11:54:56 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-14 11:54:56 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-14 11:54:56 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.003s)
2023-03-14 11:54:56 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-14 11:54:56 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-14 11:54:56 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-14 11:54:56 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.130s)
2023-03-14 11:54:56 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-14 11:54:56 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.010s)
2023-03-14 12:04:11 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-14 12:09:48 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-2065.950s) * 
2023-03-15 15:49:13 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-15 16:16:52 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (1660.272s)
2023-03-15 16:16:59 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-15 16:17:41 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-15 16:17:42 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.140s)
2023-03-15 16:17:42 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-15 16:17:42 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-15 16:17:42 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-15 16:17:42 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-15 16:17:42 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-15 16:17:42 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.000s)
2023-03-15 16:17:42 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-15 16:17:42 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-15 16:17:42 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-15 16:17:42 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.171s)
2023-03-15 16:17:42 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-15 16:17:42 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.004s)
2023-03-15 16:17:42 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-15 16:17:42 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-0.194s) * 
2023-03-15 17:04:08 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-15 17:04:08 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.170s)
2023-03-15 17:04:08 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-15 17:04:08 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-15 17:04:08 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-15 17:04:08 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-15 17:04:08 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-15 17:04:08 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.001s)
2023-03-15 17:04:08 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-15 17:04:08 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-15 17:04:08 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-15 17:04:08 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.067s)
2023-03-15 17:04:08 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-15 17:04:08 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.003s)
2023-03-15 17:04:08 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-15 17:04:08 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-0.084s) * 
2023-03-15 17:09:50 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-15 17:09:57 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (7.126s)
2023-03-15 17:09:57 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-15 17:09:57 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-15 17:09:57 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-15 17:09:57 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-15 17:09:57 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-16 10:54:12 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-16 10:54:12 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.168s)
2023-03-16 10:54:12 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-16 10:54:12 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-16 10:54:12 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-16 10:54:12 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-16 10:54:12 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-16 10:54:12 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.000s)
2023-03-16 10:54:12 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-16 10:54:12 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-16 10:54:12 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-16 10:54:12 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.161s)
2023-03-16 10:54:12 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-16 10:54:12 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.006s)
2023-03-16 10:54:12 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-16 10:54:12 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-0.192s) * 
2023-03-16 10:57:43 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-16 10:57:43 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.200s)
2023-03-16 10:57:43 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-16 10:57:43 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-16 10:57:43 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-16 10:57:43 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-16 10:57:43 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-16 10:57:43 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.000s)
2023-03-16 10:57:43 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
