datetime;pCharge;pDischarge;eBess;eDeg;pCharge2;pDischarge2;eBess2;eDeg2;pAbs;expectRevs;Totaldeg;Total;Merge
2023-07-31T22:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2577,25;0,0;2577,25;0,0
2023-07-31T23:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2423,5;0,0;2423,5;0,0
2023-08-01T00:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2194,75;0,0;2194,75;0,0
2023-08-01T01:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2062,5;0,0;2062,5;0,0
2023-08-01T02:00:00Z;100,0;0,0;95,0;0,0;0,0;0,0;0,0;0,0;125,0;9825,0;0,0;9825,0;100,0
2023-08-01T03:00:00Z;0,0;0,0;95,0;0,0;0,0;0,0;0,0;0,0;25,0;1981,5000000000002;0,0;1981,5000000000002;0,0
2023-08-01T04:00:00Z;0,0;25,0;68,684211;0,0010356295;0,0;0,0;0,0;0,0;0,0;0,0;0,5654537070000001;0,5654537070000001;-25,0
2023-08-01T05:00:00Z;0,0;25,0;42,368421;0,0010356295;0,0;0,0;0,0;0,0;0,0;0,0;0,5654537070000001;0,5654537070000001;-25,0
2023-08-01T06:00:00Z;0,0;25,0;16,052632;0,0010356295;0,0;0,0;0,0;0,0;0,0;0,0;0,5654537070000001;0,5654537070000001;-25,0
2023-08-01T07:00:00Z;0,0;15,25;0,0;0,00063173401;0,0;0,0;0,0;0,0;9,75;855,6600000000001;0,34492676946;856,0049267694601;-15,25
2023-08-01T08:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1912,5;0,0;1912,5;0,0
2023-08-01T09:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1974,7499999999998;0,0;1974,7499999999998;0,0
2023-08-01T10:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1974,7499999999998;0,0;1974,7499999999998;0,0
2023-08-01T11:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1818,75;0,0;1818,75;0,0
2023-08-01T12:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1813,0;0,0;1813,0;0,0
2023-08-01T13:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1725,0;0,0;1725,0;0,0
2023-08-01T14:00:00Z;5,2631579;0,0;5,0;0,0;0,0;0,0;0,0;0,0;30,263158;2083,31579672;0,0;2083,31579672;5,2631579
2023-08-01T15:00:00Z;100,0;0,0;100,0;0,0;6,9204152;0,0;5,8823529;0,0;131,92042;9081,401712800001;0,0;9081,401712800001;100,0
2023-08-01T16:00:00Z;0,0;0,0;100,0;0,0;0,0;0,0;5,8823529;0,0;25,0;1978,0;0,0;1978,0;0,0
2023-08-01T17:00:00Z;0,0;0,0;100,0;0,0;0,0;0,0;5,8823529;0,0;25,0;2367,25;0,0;2367,25;0,0
2023-08-01T18:00:00Z;0,0;25,0;73,684211;0,0010356295;0,0;0,0;5,8823529;0,0;0,0;0,0;0,5654537070000001;0,5654537070000001;-25,0
2023-08-01T19:00:00Z;0,0;25,0;47,368421;0,0010356295;0,0;0,0;5,8823529;0,0;0,0;0,0;0,5654537070000001;0,5654537070000001;-25,0
2023-08-01T20:00:00Z;0,0;25,0;21,052632;0,0010356295;0,0;0,0;5,8823529;0,0;0,0;0,0;0,5654537070000001;0,5654537070000001;-25,0
2023-08-01T21:00:00Z;0,0;20,0;0,0;0,00082850362;0,0;5,0;0,0;0,00012139994;0,0;0,0;0,4896327581;0,4896327581;-20,0
2023-08-01T22:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-01T23:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T00:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T01:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T02:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T03:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T04:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T05:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T06:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T07:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T08:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T09:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T10:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T11:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T12:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T13:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T14:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T15:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T16:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T17:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T18:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T19:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T20:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T21:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2613,75;0,0;2613,75;0,0
2023-08-02T22:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2375,0;0,0;2375,0;0,0
2023-08-02T23:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2398,25;0,0;2398,25;0,0
2023-08-03T00:00:00Z;0,0;0,0;0,0;7,8545372e-19;0,0;0,0;0,0;0,0;25,0;2402,25;4,2885773112e-16;2402,25;0,0
2023-08-03T01:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2402,25;0,0;2402,25;0,0
2023-08-03T02:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2352,25;0,0;2352,25;0,0
2023-08-03T03:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2352,25;0,0;2352,25;0,0
2023-08-03T04:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2346,5;0,0;2346,5;0,0
2023-08-03T05:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2365,25;0,0;2365,25;0,0
2023-08-03T06:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2309,25;0,0;2309,25;0,0
2023-08-03T07:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1800,0;0,0;1800,0;0,0
2023-08-03T08:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1647,0;0,0;1647,0;0,0
2023-08-03T09:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1647,0;0,0;1647,0;0,0
2023-08-03T10:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1647,0;0,0;1647,0;0,0
2023-08-03T11:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1647,0;0,0;1647,0;0,0
2023-08-03T12:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,0;1230,25;0,0;1230,25;0,0
2023-08-03T13:00:00Z;5,2470021;0,0;4,984652;0,0;0,0;0,0;0,0;0,0;30,247002;1488,45496842;0,0;1488,45496842;5,2470021
2023-08-03T14:00:00Z;100,0;0,0;99,984652;0,0;10,0;0,0;8,5;0,0;135,0;4699,35;0,0;4699,35;100,0
2023-08-03T15:00:00Z;0,0;0,0;99,984652;0,0;0,0;0,0;8,5;0,0;25,0;1301,25;0,0;1301,25;0,0
2023-08-03T16:00:00Z;0,0;0,0;99,984652;0,0;0,0;0,0;8,5;0,0;25,0;1579,5;0,0;1579,5;0,0
2023-08-03T17:00:00Z;0,0;2,2104194;97,657895;9,1567023e-05;0,0;0,0;8,5;1,5386045e-19;22,789581;1501,3775962799998;0,04999559455800005;1501,4275918745577;-2,2104194
2023-08-03T18:00:00Z;0,0;25,0;71,342105;0,0010356295;0,0;0,0;8,5;0,0;0,0;0,0;0,5654537070000001;0,5654537070000001;-25,0
2023-08-03T19:00:00Z;0,0;17,775;52,631579;0,00073633259;0,0;7,225;0,0;0,00017542291;0,0;0,0;0,45589242751000003;0,45589242751000003;-17,775
2023-08-03T20:00:00Z;0,0;25,0;26,315789;0,0010356295;0,0;0,0;0,0;0,0;0,0;0,0;0,5654537070000001;0,5654537070000001;-25,0
2023-08-03T21:00:00Z;0,0;25,0;0,0;0,0010356295;0,0;0,0;0,0;0,0;0,0;0,0;0,5654537070000001;0,5654537070000001;-25,0
