datetime;pCharge;pDischarge;eBess;eDeg;pCharge2;pDischarge2;eBess2;eDeg2;pAbs;expectRevs;Totaldeg;Total;Merge
2024-03-04T23:00:00Z;0,0;0,0;0,0;0,0;7,0588235;0,0;6,0;0,0;40,048824;294,75934464000005;0,0;294,75934464000005;0,0
2024-03-05T00:00:00Z;6,2531579;0,0;5,9405;0,0;10,0;0,0;14,5;0,0;48,103158;224,16071628;0,0;224,16071628;6,2531579
2024-03-05T01:00:00Z;99,01;0,0;100,0;0,0;10,0;0,0;23,0;0,0;140,0;652,4;0,0;652,4;99,01
2024-03-05T02:00:00Z;0,0;0,0;100,0;0,0;10,0;0,0;31,5;0,0;40,36;201,8;0,0;201,8;0,0
2024-03-05T03:00:00Z;0,0;0,0;100,0;0,0;10,0;0,0;40,0;0,0;40,84;245,04000000000002;0,0;245,04000000000002;0,0
2024-03-05T04:00:00Z;0,0;0,0;100,0;0,0;0,0;0,0;40,0;0,0;31,67;260,64410000000004;0,0;260,64410000000004;0,0
2024-03-05T05:00:00Z;0,0;14,34;84,905263;0,0005940371;0,0;8,5;30,0;0,0002063799;12,15;292,815;0,3877028859;293,2027028859;-14,34
2024-03-05T06:00:00Z;0,0;33,97;49,147368;0,0014072134;0,0;8,5;20,0;0,0002063799;0,0;0,0;0,8316971457;0,8316971457;-33,97
2024-03-05T07:00:00Z;0,0;46,69;0,0;0,0019341417;0,0;8,5;10,0;0,0002063799;0,0;0,0;1,1193999975;1,1193999975;-46,69
2024-03-05T08:00:00Z;0,0;0,0;0,0;0,0;0,0;8,5;0,0;0,0002063799;72,98;1286,6374;0,0633586293;1286,7007586293;0,0
2024-03-05T09:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;117,88;943,04;0,0;943,04;0,0
2024-03-05T10:00:00Z;0,0;0,0;0,0;0,0;0,8;0,0;0,68;0,0;140,0;644,0;0,0;644,0;0,0
2024-03-05T11:00:00Z;0,0;0,0;0,0;0,0;10,0;0,0;9,18;0,0;128,37;513,48;0,0;513,48;0,0
2024-03-05T12:00:00Z;36,383158;0,0;34,564;0,0;10,0;0,0;17,68;0,0;127,89316;498,783324;0,0;498,783324;36,383158
2024-03-05T13:00:00Z;68,88;0,0;100,0;0,0;10,0;0,0;26,18;0,0;140,0;546,0;0,0;546,0;68,88
2024-03-05T14:00:00Z;0,0;0,0;100,0;0,0;10,0;0,0;34,68;0,0;76,91;307,64;0,0;307,64;0,0
2024-03-05T15:00:00Z;0,0;0,0;100,0;0,0;6,2588235;0,0;40,0;0,0;87,488824;510,05984392;0,0;510,05984392;0,0
2024-03-05T16:00:00Z;0,0;0,0;100,0;0,0;0,0;0,0;40,0;0,0;80,79;1373,43;0,0;1373,43;0,0
2024-03-05T17:00:00Z;0,0;0,0;100,0;0,0;0,0;0,0;40,0;0,0;77,37;3907,9587;0,0;3907,9587;0,0
2024-03-05T18:00:00Z;0,0;42,19;55,589474;0,0017477284;0,0;8,5;30,0;0,0002063799;21,2;2653,604;1,0176183357;2654,6216183356996;-42,19
2024-03-05T19:00:00Z;0,0;52,81;0,0;0,0021876638;0,0;8,5;20,0;0,0002063799;0,0;0,0;1,2578230640999999;1,2578230640999999;-52,81
2024-03-05T20:00:00Z;0,0;0,0;0,0;0,0;0,0;8,5;10,0;0,0002063799;37,26;3693,2112;0,0633586293;3693,2745586293004;0,0
2024-03-05T21:00:00Z;0,0;0,0;0,0;0,0;0,0;8,5;0,0;0,0002063799;29,63;2530,6983;0,0633586293;2530,7616586293;0,0
2024-03-05T22:00:00Z;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,3;2571,9579999999996;0,0;2571,9579999999996;0,0
