;Datetime;Value
0;2024-03-05T00:00:00Z;38,23016699638884
1;2024-03-05T01:00:00Z;41,13358084850917
2;2024-03-05T02:00:00Z;46,97547056449131
3;2024-03-05T03:00:00Z;48,04956750458284
4;2024-03-05T04:00:00Z;49,53577605803527
5;2024-03-05T05:00:00Z;56,201977953187146
6;2024-03-05T06:00:00Z;51,62102082070243
7;2024-03-05T07:00:00Z;52,68491457326845
8;2024-03-05T08:00:00Z;52,608984332879075
9;2024-03-05T09:00:00Z;60,405903243321134
10;2024-03-05T10:00:00Z;66,30773663922153
11;2024-03-05T11:00:00Z;70,82605600954405
12;2024-03-05T12:00:00Z;72,75207826712669
13;2024-03-05T13:00:00Z;72,28985328932706
14;2024-03-05T14:00:00Z;74,50541522251459
15;2024-03-05T15:00:00Z;79,49939094989493
16;2024-03-05T16:00:00Z;81,42926175458784
17;2024-03-05T17:00:00Z;83,94058396743624
18;2024-03-05T18:00:00Z;83,74893267112262
19;2024-03-05T19:00:00Z;88,89677207302547
20;2024-03-05T20:00:00Z;90,71801348591673
21;2024-03-05T21:00:00Z;90,90988556926061
22;2024-03-05T22:00:00Z;90,48117809287677
23;2024-03-05T23:00:00Z;87,91113745728855
24;2024-03-06T00:00:00Z;81,29798457548411
