;DateTime;Price
146;2023-08-13 00:00:00;52.30
147;2023-08-13 01:00:00;51.80
148;2023-08-13 02:00:00;47.80
149;2023-08-13 03:00:00;65.03
150;2023-08-13 04:00:00;72.22
151;2023-08-13 05:00:00;91.31
152;2023-08-13 06:00:00;94.50
153;2023-08-13 07:00:00;77.62
154;2023-08-13 08:00:00;57.50
155;2023-08-13 09:00:00;75.01
156;2023-08-13 10:00:00;90.00
157;2023-08-13 11:00:00;90.00
158;2023-08-13 12:00:00;90.00
159;2023-08-13 13:00:00;90.00
160;2023-08-13 14:00:00;90.00
161;2023-08-13 15:00:00;85.01
162;2023-08-13 16:00:00;85.10
163;2023-08-13 17:00:00;107.02
164;2023-08-13 18:00:00;116.30
165;2023-08-13 19:00:00;124.95
166;2023-08-13 20:00:00;110.80
167;2023-08-13 21:00:00;100.00
168;2023-08-14 22:00:00;106.00
169;2023-08-14 23:00:00;104.37
170;2023-08-15 00:00:00;99.93
171;2023-08-15 01:00:00;99.41
172;2023-08-15 02:00:00;91.69
173;2023-08-15 03:00:00;92.54
174;2023-08-15 04:00:00;96.32
175;2023-08-15 05:00:00;99.93
176;2023-08-15 06:00:00;99.93
177;2023-08-15 07:00:00;98.15
178;2023-08-15 08:00:00;85.52
179;2023-08-15 09:00:00;78.69
180;2023-08-15 10:00:00;78.69
181;2023-08-15 11:00:00;79.70
182;2023-08-15 12:00:00;79.70
183;2023-08-15 13:00:00;78.50
184;2023-08-15 14:00:00;78.50
185;2023-08-15 15:00:00;80.46
186;2023-08-15 16:00:00;95.34
187;2023-08-15 17:00:00;102.00
188;2023-08-15 18:00:00;116.00
189;2023-08-15 19:00:00;127.66
190;2023-08-15 20:00:00;125.44
191;2023-08-15 21:00:00;120.00
192;2023-08-16 22:00:00;109.77
193;2023-08-16 23:00:00;102.00
194;2023-08-17 00:00:00;102.00
195;2023-08-17 01:00:00;100.00
196;2023-08-17 02:00:00;94.25
197;2023-08-17 03:00:00;96.50
198;2023-08-17 04:00:00;98.16
199;2023-08-17 05:00:00;105.70
200;2023-08-17 06:00:00;106.44
201;2023-08-17 07:00:00;99.66
202;2023-08-17 08:00:00;89.96
203;2023-08-17 09:00:00;85.69
204;2023-08-17 10:00:00;83.33
205;2023-08-17 11:00:00;80.85
206;2023-08-17 12:00:00;80.01
207;2023-08-17 13:00:00;79.51
208;2023-08-17 14:00:00;80.50
209;2023-08-17 15:00:00;84.00
210;2023-08-17 16:00:00;98.53
211;2023-08-17 17:00:00;117.56
212;2023-08-17 18:00:00;123.86
213;2023-08-17 19:00:00;130.81
214;2023-08-17 20:00:00;122.47
215;2023-08-17 21:00:00;122.84
216;2023-08-18 22:00:00;117.57
217;2023-08-18 23:00:00;112.58
218;2023-08-19 00:00:00;111.24
219;2023-08-19 01:00:00;111.24
220;2023-08-19 02:00:00;110.54
221;2023-08-19 03:00:00;112.41
222;2023-08-19 04:00:00;114.07
223;2023-08-19 05:00:00;112.58
224;2023-08-19 06:00:00;107.44
225;2023-08-19 07:00:00;107.44
226;2023-08-19 08:00:00;105.50
227;2023-08-19 09:00:00;86.21
228;2023-08-19 10:00:00;85.10
229;2023-08-19 11:00:00;84.50
230;2023-08-19 12:00:00;83.50
231;2023-08-19 13:00:00;82.51
232;2023-08-19 14:00:00;82.21
233;2023-08-19 15:00:00;91.28
234;2023-08-19 16:00:00;100.42
235;2023-08-19 17:00:00;109.25
236;2023-08-19 18:00:00;120.25
237;2023-08-19 19:00:00;125.51
238;2023-08-19 20:00:00;124.82
239;2023-08-19 21:00:00;115.72
240;2023-08-20 22:00:00;122.27
241;2023-08-20 23:00:00;121.57
242;2023-08-21 00:00:00;119.10
243;2023-08-21 01:00:00;118.76
244;2023-08-21 02:00:00;117.10
245;2023-08-21 03:00:00;117.57
246;2023-08-21 04:00:00;119.08
247;2023-08-21 05:00:00;126.00
248;2023-08-21 06:00:00;130.82
249;2023-08-21 07:00:00;117.48
250;2023-08-21 08:00:00;113.00
251;2023-08-21 09:00:00;97.00
252;2023-08-21 10:00:00;97.60
253;2023-08-21 11:00:00;97.40
254;2023-08-21 12:00:00;91.92
255;2023-08-21 13:00:00;90.00
256;2023-08-21 14:00:00;89.00
257;2023-08-21 15:00:00;97.98
258;2023-08-21 16:00:00;111.05
259;2023-08-21 17:00:00;121.57
260;2023-08-21 18:00:00;130.50
261;2023-08-21 19:00:00;130.36
262;2023-08-21 20:00:00;120.57
263;2023-08-21 21:00:00;116.52
264;2023-08-22 22:00:00;119.54
265;2023-08-22 23:00:00;112.62
266;2023-08-23 00:00:00;109.55
267;2023-08-23 01:00:00;109.18
268;2023-08-23 02:00:00;109.18
269;2023-08-23 03:00:00;109.18
270;2023-08-23 04:00:00;112.62
271;2023-08-23 05:00:00;110.93
272;2023-08-23 06:00:00;103.01
273;2023-08-23 07:00:00;90.00
274;2023-08-23 08:00:00;79.81
275;2023-08-23 09:00:00;75.51
276;2023-08-23 10:00:00;74.91
277;2023-08-23 11:00:00;75.51
278;2023-08-23 12:00:00;74.91
279;2023-08-23 13:00:00;72.48
280;2023-08-23 14:00:00;70.51
281;2023-08-23 15:00:00;71.00
282;2023-08-23 16:00:00;85.49
283;2023-08-23 17:00:00;106.47
284;2023-08-23 18:00:00;116.04
285;2023-08-23 19:00:00;123.55
286;2023-08-23 20:00:00;122.84
287;2023-08-23 21:00:00;121.88
288;2023-08-24 22:00:00;109.18
289;2023-08-24 23:00:00;100.11
290;2023-08-25 00:00:00;95.95
291;2023-08-25 01:00:00;96.52
292;2023-08-25 02:00:00;89.85
293;2023-08-25 03:00:00;96.52
294;2023-08-25 04:00:00;100.11
295;2023-08-25 05:00:00;96.68
296;2023-08-25 06:00:00;80.00
297;2023-08-25 07:00:00;65.91
298;2023-08-25 08:00:00;30.00
299;2023-08-25 09:00:00;15.00
300;2023-08-25 10:00:00;30.00
301;2023-08-25 11:00:00;15.00
302;2023-08-25 12:00:00;10.00
303;2023-08-25 13:00:00;6.76
304;2023-08-25 14:00:00;17.45
305;2023-08-25 15:00:00;69.98
306;2023-08-25 16:00:00;74.91
307;2023-08-25 17:00:00;96.52
308;2023-08-25 18:00:00;110.90
309;2023-08-25 19:00:00;120.00
310;2023-08-25 20:00:00;120.01
311;2023-08-25 21:00:00;114.00
312;2023-08-26 22:00:00;113.00
313;2023-08-26 23:00:00;109.18
314;2023-08-27 00:00:00;99.24
315;2023-08-27 01:00:00;99.24
316;2023-08-27 02:00:00;99.24
317;2023-08-27 03:00:00;103.80
318;2023-08-27 04:00:00;115.66
319;2023-08-27 05:00:00;121.16
320;2023-08-27 06:00:00;114.71
321;2023-08-27 07:00:00;99.24
322;2023-08-27 08:00:00;83.67
323;2023-08-27 09:00:00;77.31
324;2023-08-27 10:00:00;75.05
325;2023-08-27 11:00:00;75.00
326;2023-08-27 12:00:00;67.13
327;2023-08-27 13:00:00;74.10
328;2023-08-27 14:00:00;76.81
329;2023-08-27 15:00:00;77.71
330;2023-08-27 16:00:00;78.51
331;2023-08-27 17:00:00;109.42
332;2023-08-27 18:00:00;118.34
333;2023-08-27 19:00:00;125.12
334;2023-08-27 20:00:00;115.33
335;2023-08-27 21:00:00;114.61
336;2023-08-28 22:00:00;117.01
337;2023-08-28 23:00:00;112.58
338;2023-08-29 00:00:00;95.00
339;2023-08-29 01:00:00;95.00
340;2023-08-29 02:00:00;95.44
341;2023-08-29 03:00:00;101.43
342;2023-08-29 04:00:00;110.01
343;2023-08-29 05:00:00;112.58
344;2023-08-29 06:00:00;105.34
345;2023-08-29 07:00:00;87.00
346;2023-08-29 08:00:00;79.25
347;2023-08-29 09:00:00;74.12
348;2023-08-29 10:00:00;73.17
349;2023-08-29 11:00:00;73.00
350;2023-08-29 12:00:00;70.30
351;2023-08-29 13:00:00;45.85
352;2023-08-29 14:00:00;70.26
353;2023-08-29 15:00:00;76.21
354;2023-08-29 16:00:00;83.00
355;2023-08-29 17:00:00;115.61
356;2023-08-29 18:00:00;129.00
357;2023-08-29 19:00:00;133.04
358;2023-08-29 20:00:00;125.25
359;2023-08-29 21:00:00;115.77
360;2023-08-30 22:00:00;106.76
361;2023-08-30 23:00:00;97.45
362;2023-08-31 00:00:00;90.71
363;2023-08-31 01:00:00;90.00
364;2023-08-31 02:00:00;87.89
365;2023-08-31 03:00:00;90.32
366;2023-08-31 04:00:00;115.38
367;2023-08-31 05:00:00;124.41
368;2023-08-31 06:00:00;125.78
369;2023-08-31 07:00:00;109.47
370;2023-08-31 08:00:00;99.21
371;2023-08-31 09:00:00;94.10
372;2023-08-31 10:00:00;90.32
373;2023-08-31 11:00:00;86.00
374;2023-08-31 12:00:00;86.29
375;2023-08-31 13:00:00;88.51
376;2023-08-31 14:00:00;94.17
377;2023-08-31 15:00:00;103.14
378;2023-08-31 16:00:00;115.17
379;2023-08-31 17:00:00;125.25
380;2023-08-31 18:00:00;132.96
381;2023-08-31 19:00:00;136.10
382;2023-08-31 20:00:00;126.40
383;2023-08-31 21:00:00;124.41
384;2023-09-01 22:00:00;122.11
385;2023-09-01 23:00:00;117.61
386;2023-09-02 00:00:00;112.15
387;2023-09-02 01:00:00;112.15
388;2023-09-02 02:00:00;121.38
389;2023-09-02 03:00:00;124.40
390;2023-09-02 04:00:00;129.00
391;2023-09-02 05:00:00;131.76
392;2023-09-02 06:00:00;131.00
393;2023-09-02 07:00:00;122.00
394;2023-09-02 08:00:00;108.36
395;2023-09-02 09:00:00;95.26
