;Datetime;Value
0;2024-03-06T00:00:00Z;81,29798457548411
1;2024-03-06T01:00:00Z;82,43975994238306
2;2024-03-06T02:00:00Z;81,45471847473156
3;2024-03-06T03:00:00Z;80,85390737339667
4;2024-03-06T04:00:00Z;79,6737851751079
5;2024-03-06T05:00:00Z;75,03837515777728
6;2024-03-06T06:00:00Z;65,98439317478264
7;2024-03-06T07:00:00Z;62,464391026326574
8;2024-03-06T08:00:00Z;71,3036331425653
9;2024-03-06T09:00:00Z;86,30385951689911
10;2024-03-06T10:00:00Z;89,75932563836218
11;2024-03-06T11:00:00Z;93,11502645783877
12;2024-03-06T12:00:00Z;99,74708091862632
13;2024-03-06T13:00:00Z;100,87238761512171
14;2024-03-06T14:00:00Z;103,93006551529088
15;2024-03-06T15:00:00Z;104,15120216801571
16;2024-03-06T16:00:00Z;106,85722240522098
17;2024-03-06T17:00:00Z;96,9631996743528
18;2024-03-06T18:00:00Z;83,86165388394815
19;2024-03-06T19:00:00Z;86,23335985254194
20;2024-03-06T20:00:00Z;82,56740701967635
21;2024-03-06T21:00:00Z;82,08458052595674
22;2024-03-06T22:00:00Z;79,12682824314176
23;2024-03-06T23:00:00Z;83,43414670717368
